Year,Region,Civilians killed
2001,Australasia & Oceania,0
2001,Australasia & Oceania,0
2001,Australasia & Oceania,0
2001,Australasia & Oceania,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,1
2001,Central America & Caribbean,0
2001,Central America & Caribbean,1
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,2
2001,Central Asia,4
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,1
2001,Central Asia,4
2001,Central Asia,1
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,1
2001,Central Asia,0
2001,Central Asia,1
2001,Central Asia,1
2001,Central Asia,1
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,2
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,1
2001,East Asia,1
2001,East Asia,1
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,2
2001,East Asia,0
2001,East Asia,2
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,3
2001,Eastern Europe,2
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,9
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,3
2001,Eastern Europe,10
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,9
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,18
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,14
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,8
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,1
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,12
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,11
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,5
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,3
2001,Eastern Europe,3
2001,Eastern Europe,3
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,9
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,7
2001,Eastern Europe,2
2001,Eastern Europe,4
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,5
2001,Eastern Europe,0
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,4
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,2
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,5
2001,Middle East & North Africa,0
2001,Middle East & North Africa,3
2001,Middle East & North Africa,4
2001,Middle East & North Africa,0
2001,Middle East & North Africa,4
2001,Middle East & North Africa,4
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,7
2001,Middle East & North Africa,0
2001,Middle East & North Africa,4
2001,Middle East & North Africa,12
2001,Middle East & North Africa,12
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,23
2001,Middle East & North Africa,11
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,6
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,25
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,7
2001,Middle East & North Africa,23
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,26
2001,Middle East & North Africa,3
2001,Middle East & North Africa,8
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,3
2001,Middle East & North Africa,3
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,7
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,4
2001,Middle East & North Africa,6
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,5
2001,Middle East & North Africa,2
2001,Middle East & North Africa,11
2001,Middle East & North Africa,8
2001,Middle East & North Africa,4
2001,Middle East & North Africa,0
2001,Middle East & North Africa,7
2001,Middle East & North Africa,3
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,5
2001,Middle East & North Africa,0
2001,Middle East & North Africa,12
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,15
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,3
2001,Middle East & North Africa,5
2001,Middle East & North Africa,5
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,7
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,4
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,5
2001,Middle East & North Africa,5
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,8
2001,Middle East & North Africa,2
2001,Middle East & North Africa,11
2001,Middle East & North Africa,1
2001,Middle East & North Africa,4
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,22
2001,Middle East & North Africa,5
2001,Middle East & North Africa,5
2001,Middle East & North Africa,5
2001,Middle East & North Africa,0
2001,Middle East & North Africa,9
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,1
2001,Middle East & North Africa,6
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,16
2001,Middle East & North Africa,10
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,6
2001,Middle East & North Africa,0
2001,Middle East & North Africa,11
2001,Middle East & North Africa,12
2001,Middle East & North Africa,3
2001,Middle East & North Africa,3
2001,Middle East & North Africa,7
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,10
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,4
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,16
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,5
2001,Middle East & North Africa,4
2001,Middle East & North Africa,17
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,5
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,17
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,7
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,5
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,7
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,9
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,10
2001,Middle East & North Africa,3
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,5
2001,Middle East & North Africa,2
2001,Middle East & North Africa,3
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,7
2001,Middle East & North Africa,4
2001,Middle East & North Africa,2
2001,Middle East & North Africa,9
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,22
2001,Middle East & North Africa,3
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,4
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,3
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,4
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,3
2001,Middle East & North Africa,4
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,3
2001,Middle East & North Africa,1
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,0
2001,Middle East & North Africa,3
2001,Middle East & North Africa,4
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,1
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,3
2001,Middle East & North Africa,1
2001,Middle East & North Africa,4
2001,Middle East & North Africa,10
2001,Middle East & North Africa,0
2001,Middle East & North Africa,16
2001,Middle East & North Africa,2
2001,Middle East & North Africa,2
2001,Middle East & North Africa,5
2001,Middle East & North Africa,1
2001,Middle East & North Africa,17
2001,Middle East & North Africa,1
2001,Middle East & North Africa,0
2001,Middle East & North Africa,2
2001,Middle East & North Africa,0
